tokenID,cid
0,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player1.json
1,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player2.json
2,ipfs://bafkreie6qchpsk2aqd2y4gegtht277e7qw66sb6vu54esz3yua7ooaoqsu
3,ipfs://bafkreih7bflxe45c7yxqznaznolylrumjjmg6r2xgz34sm3ix5nycm35lm
4,ipfs://bafkreibyjgu4ty7urjnpggprovondafw3tntgilkxybd6jldmqfwyktc3e
5,ipfs://bafkreiaragnvdzziszbd7g44szso4gct3w3bdcngk2h4ogymjjwdrt5oku
6,ipfs://bafkreidr7zxsat247phbhwjx44pgxynn4bpf5cmrql3kzvxzqngcrszl6y
7,ipfs://bafkreig3u3zyhchanikr3a2w5kfs5nptanlm4kfsf7o42s2wxvkrqhxs7m
8,ipfs://bafkreihilanznejbp7blwa7ub5mo2xef2ecglkxug67pupzegj4evrppqa
9,ipfs://bafkreifszpivddfexwwnlv4z4pwl2vw5ckn5mj3zwlbj4wwho6gkd7b55q
10,ipfs://bafkreibk7bnox2v36kt2lkzte5aclwwmh2ilrqw6dphcxpjsc3ogu3rm4i
11,ipfs://bafkreiem33odmefgsiaxbgreim43xls363nhxx4e5sifmui4j5gpd7i6au
12,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player21.json
13,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player22.json
14,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player27.json
15,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player30.json
16,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player32.json
17,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player33.json
18,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player35.json
19,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player37.json
20,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player39.json
21,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player43.json
22,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player45.json
23,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player50.json
24,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player52.json
25,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player53.json
26,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player58.json
27,ipfs://bafybeiczbliny5c7evftjmbpzn5pl33coe5xzn7tod2fhkclqujfol27jy/player62.json